press_date_at,die_number,pressing_type,plan_billet_quantities,actual_billet_quantities,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
01-30,MXS08TB-V01D,〇,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27,XLA40B2-V01B,〇,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27,SY70M-V01B,〇,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-27,MHY16B-V01D,〇,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-26,CQ32T-V01B,〇,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-25,MHY10B-V01D,〇,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-25,XLA40B2-V01B,〇,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-25,SY30M-V01B,〇,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-25,MHY10B-V01D,〇,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-22,MHY10B-V01D,〇,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-21,SY30M-V01B,〇,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-21,MHY10B-V01D,〇,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-21,CQ32T-V01B,〇,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
